# BETIS HII-region catalogue - extinction-corrected emission-line fluxes
# Galaxy: Arp335   (105 valid HII regions)
#
# UNITS
#   Hb4861 and e_Hb4861 are ABSOLUTE, in erg s^-1 cm^-2 (cgs), unscaled.
#   Every other line and its error is NORMALISED BY Hbeta, i.e. the
#   dimensionless ratio F(line)/F(Hbeta), so Hbeta itself would be 1.
#   To recover an absolute flux:  F(line) = <line> * Hb4861   [cgs]
#   and likewise                  e(line) = e_<line> * Hb4861.
#   The errors are scaled by F(Hbeta) only; the uncertainty of Hbeta
#   itself is NOT folded into them - it is given once, as e_Hb4861.
#   Rows without a measured Hbeta have no ratios at all (all blank).
#
# Fluxes are corrected for internal extinction using the region's own
# Balmer decrement (Cardelli et al. 1989, R_V=3.1, intrinsic Ha/Hb=2.86,
# E(B-V) clamped at >=0); A_V [mag] is that correction.
# OH = 12+log(O/H) from the O3N2 calibrator (blank where [O III] or Hb
# is undetected). ra/dec in degrees J2000; XPIX/YPIX are 1-based FITS
# pixel coordinates in the galaxy's segmentation map.
region_id,ra,dec,XPIX,YPIX,A_V,OH,Hb4861,e_Hb4861,OIII4959,e_OIII4959,OIII5007,e_OIII5007,HeI5876,e_HeI5876,OI6300,e_OI6300,SIII6312,e_SIII6312,OI6364,e_OI6364,NII6548,e_NII6548,Ha6563,e_Ha6563,NII6584,e_NII6584,HeI6678,e_HeI6678,SII6716,e_SII6716,SII6731,e_SII6731
1,166.113,4.83715,67,389,1.20126,8.30429,4.47364e-15,8.41751e-16,0.788195,0.145249,2.34476,0.423033,0.110649,0.0172898,,,0.0509573,0.00884565,0.0134884,0.0042201,0.144476,0.0223411,2.86,0.396489,0.431247,0.0617835,0.0272482,0.00492938,0.270086,0.0356113,0.214719,0.0287094
2,166.099,4.82531,322,176,1.12918,8.49655,1.24279e-14,1.25324e-15,0.18229,0.0191517,0.554329,0.0536781,0.092289,0.0083169,0.0393635,0.00381591,0.00364153,0.0014011,0.0121871,0.00210725,0.261,0.0280645,2.86,0.21119,0.779343,0.0628006,0.0219627,0.00447213,0.385057,0.0331663,0.288645,0.023793
3,166.098,4.82865,337,236,2.3843,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,166.107,4.83726,176,391,0.904129,8.49343,2.66347e-15,2.91459e-16,0.203255,0.0257476,0.597699,0.064409,0.099338,0.0126301,,,0.0522727,0.00691587,0.0189934,0.00573436,0.27135,0.0312902,2.86,0.23476,0.811166,0.0685922,0.0257743,0.00698594,0.408881,0.0418709,0.295839,0.030352
5,166.095,4.82065,394,92,1.26983,8.47685,3.25901e-15,7.20274e-16,0.237082,0.0546404,0.663794,0.141746,0.0895592,0.0196684,0.0802743,0.0155069,,,0.0227184,0.00619255,0.250243,0.0434839,2.86,0.468012,0.746695,0.123472,0.0220672,0.00850047,0.437308,0.0725646,0.318935,0.0503176
6,166.099,4.82615,323,191,1.37438,8.52607,3.0409e-15,6.17487e-16,0.151797,0.0327,0.446186,0.0881474,0.0785725,0.0141071,0.0853011,0.0138219,,,0.0331965,0.00621718,0.293505,0.0491515,2.86,0.44583,0.87532,0.1403,0.0218411,0.00684207,0.509793,0.0746707,0.371811,0.0546487
7,166.099,4.82676,318,202,1.18562,8.48817,1.16163e-15,1.90194e-16,0.238452,0.0467301,0.708612,0.112897,0.0930548,0.0175859,0.104673,0.0195419,,,0.0407432,0.010143,0.303535,0.0392795,2.86,0.330013,0.906095,0.102934,,,0.53539,0.0616349,0.379251,0.0429231
8,166.099,4.82576,319,184,1.00772,8.5039,1.10705e-14,2.59841e-15,0.166852,0.0390698,0.517953,0.11703,0.095567,0.0181747,0.0533604,0.00968454,,,0.0190716,0.00418004,0.264869,0.053154,2.86,0.501949,0.79138,0.145652,0.0233606,0.00557971,0.445277,0.0704675,0.330748,0.052876
9,166.11,4.83387,117,330,1.01175,8.43979,2.09528e-15,5.36513e-16,0.309895,0.0802374,0.935529,0.230357,0.106352,0.023806,0.0586823,0.0134682,,,0.0176595,0.00564375,0.232327,0.0502707,2.86,0.559993,0.694135,0.140925,0.0276208,0.00787816,0.405195,0.0705569,0.286864,0.0496092
10,166.1,4.83232,299,302,1.41219,8.53224,1.66866e-15,2.42381e-16,0.150926,0.031346,0.441377,0.0643784,0.0972155,0.0151948,0.0804871,0.0139807,,,0.025658,0.00783566,0.311208,0.0445563,2.86,0.306171,0.927939,0.107845,,,0.446288,0.0457204,0.348712,0.0366502
11,166.107,4.82354,183,144,0.873203,8.36323,6.87058e-16,2.30909e-16,0.585288,0.197004,1.69637,0.538378,0.135332,0.0437916,0.106088,0.0329374,,,,,0.185496,0.049228,2.86,0.689989,0.554601,0.133382,,,0.525349,0.115979,0.385762,0.0849598
12,166.099,4.8272,316,210,1.80816,8.50022,7.43953e-15,1.2746e-15,0.233568,0.0409123,0.648639,0.10683,0.0665363,0.0107863,0.0957295,0.0135955,,,0.0284751,0.00585557,0.319439,0.0499528,2.86,0.348496,0.950587,0.120516,0.0219513,0.00560597,0.496358,0.0600449,0.365393,0.0442702
14,166.1,4.82809,310,226,1.87366,8.5586,6.65918e-15,1.72446e-15,0.124936,0.0351115,0.332679,0.0839738,0.0973885,0.0227465,,,0.0802405,0.0166431,0.0264423,0.00706447,0.314952,0.0662822,2.86,0.554082,0.936927,0.19234,0.0194406,0.00597857,0.479024,0.0851682,0.321462,0.0563791
