# BETIS HII-region catalogue - extinction-corrected emission-line fluxes
# Galaxy: ESO350-40   (179 valid HII regions)
#
# UNITS
#   Hb4861 and e_Hb4861 are ABSOLUTE, in erg s^-1 cm^-2 (cgs), unscaled.
#   Every other line and its error is NORMALISED BY Hbeta, i.e. the
#   dimensionless ratio F(line)/F(Hbeta), so Hbeta itself would be 1.
#   To recover an absolute flux:  F(line) = <line> * Hb4861   [cgs]
#   and likewise                  e(line) = e_<line> * Hb4861.
#   The errors are scaled by F(Hbeta) only; the uncertainty of Hbeta
#   itself is NOT folded into them - it is given once, as e_Hb4861.
#   Rows without a measured Hbeta have no ratios at all (all blank).
#
# Fluxes are corrected for internal extinction using the region's own
# Balmer decrement (Cardelli et al. 1989, R_V=3.1, intrinsic Ha/Hb=2.86,
# E(B-V) clamped at >=0); A_V [mag] is that correction.
# OH = 12+log(O/H) from the O3N2 calibrator (blank where [O III] or Hb
# is undetected). ra/dec in degrees J2000; XPIX/YPIX are 1-based FITS
# pixel coordinates in the galaxy's segmentation map.
region_id,ra,dec,XPIX,YPIX,A_V,OH,Hb4861,e_Hb4861,OIII4959,e_OIII4959,OIII5007,e_OIII5007,HeI5876,e_HeI5876,OI6300,e_OI6300,SIII6312,e_SIII6312,OI6364,e_OI6364,NII6548,e_NII6548,Ha6563,e_Ha6563,NII6584,e_NII6584,HeI6678,e_HeI6678,SII6716,e_SII6716,SII6731,e_SII6731
2,9.41993,-33.725,189,44,0.467618,8.08149,9.15031e-15,1.61633e-15,1.38658,0.237125,4.12633,0.696176,0.0985991,0.015436,0.0560505,0.00783783,0.0141741,0.0021145,0.0180611,0.00325858,0.0451239,0.0154114,2.86,0.35351,0.135189,0.0235262,0.0290831,0.00452817,0.208879,0.026678,0.153732,0.0198186
3,9.42226,-33.7254,154,36,0.402437,8.04851,7.378e-15,1.75038e-15,1.51743,0.350888,4.55032,1.03638,0.102222,0.0205967,0.0499615,0.00883492,0.0149236,0.00268962,0.0158218,0.00386877,0.0404524,0.0154878,2.86,0.513607,0.121233,0.0317906,0.0280564,0.00506791,0.182082,0.0302751,0.130109,0.0216455
4,9.41338,-33.7227,287,85,0.256594,7.98959,4.74491e-15,7.11297e-16,1.85146,0.264252,5.54631,0.778896,0.10322,0.0126284,0.0409233,0.00504488,0.0151279,0.00197627,0.0137902,0.00171812,0.0348557,0.0056072,2.86,0.287708,0.104537,0.0121198,0.0308369,0.00374158,0.153011,0.0165874,0.108053,0.0121369
5,9.41218,-33.7215,305,107,0.360831,8.0407,7.34046e-15,8.79602e-16,1.65207,0.192296,4.9853,0.571993,0.101661,0.0111325,0.0502108,0.00551126,0.0155591,0.00187771,0.016778,0.00170432,0.0422525,0.0101321,2.86,0.260207,0.126654,0.0160028,0.0309028,0.00277679,0.198758,0.0162825,0.136006,0.0111948
6,9.41151,-33.7213,315,111,0.295128,8.14456,6.25608e-15,7.31472e-16,1.10743,0.126055,3.32079,0.372097,0.0929275,0.00865783,0.0631698,0.00549543,0.0125002,0.0013584,0.0218565,0.00248406,0.0555289,0.0186527,2.86,0.254543,0.166506,0.0250235,0.026181,0.00282865,0.251006,0.0208376,0.174703,0.0142138
7,9.42126,-33.7253,169,38,0.47506,8.04439,9.71769e-15,1.04093e-15,1.50395,0.151599,4.47755,0.44531,0.103258,0.00908843,0.0464017,0.00446849,0.0144213,0.0015454,0.0145723,0.00273277,0.0388312,0.0108508,2.86,0.208123,0.116332,0.0137619,0.0289614,0.00345203,0.180528,0.0136698,0.132203,0.00974473
8,9.42487,-33.7241,115,60,0.430625,8.0918,7.03272e-15,1.44718e-15,1.46942,0.294266,4.39179,0.867477,0.111158,0.018286,0.0421735,0.00735428,0.0151998,0.0027006,0.0134424,0.00342948,0.0513328,0.0136819,2.86,0.453351,0.153819,0.0313405,0.0304434,0.00476905,0.200578,0.0285288,0.148136,0.0210608
9,9.41625,-33.7238,244,65,0.632233,8.08734,6.35919e-15,7.0141e-16,1.41513,0.151744,4.26463,0.449721,0.103335,0.012986,0.0501174,0.00523883,0.0132275,0.00171888,0.0166443,0.00249236,,,2.86,0.224558,0.145091,0.0246546,0.026313,0.00345743,0.207834,0.0200939,0.145559,0.0157973
10,9.42848,-33.7207,61,121,0.352435,7.96091,3.04228e-15,3.00107e-16,1.92036,0.182401,5.70486,0.533685,0.0989089,0.0106476,0.0377935,0.00541577,0.014434,0.00239241,0.0111785,0.00213217,,,2.86,0.204504,0.091737,0.0218066,0.0271217,0.00263439,0.132773,0.00962639,0.0965638,0.0072243
11,9.40684,-33.7164,385,199,0.518297,8.16255,3.90397e-15,8.03712e-16,1.06446,0.213286,3.20304,0.633205,0.0999236,0.0167934,0.0710793,0.0109576,0.0117123,0.00217551,0.0253929,0.00398031,0.0610293,0.0180825,2.86,0.454915,0.182794,0.038647,0.0250304,0.00487151,0.278518,0.0450759,0.203192,0.0343641
12,9.42393,-33.71,129,313,0.561014,8.17203,3.78861e-15,5.76649e-16,1.15687,0.171425,3.45952,0.506062,0.10192,0.0151154,0.0715764,0.00843309,0.0135926,0.00200281,0.0249389,0.00365888,0.0706951,0.0120871,2.86,0.334948,0.211699,0.0290831,0.026964,0.0071808,0.302851,0.0539398,0.220028,0.0370546
13,9.41425,-33.7226,274,87,0.455262,8.09319,3.08163e-15,4.02716e-16,1.3816,0.175698,4.12915,0.51804,0.102508,0.0131517,0.0604047,0.00606974,0.0156915,0.00222117,0.0192164,0.00274558,0.0487102,0.0120596,2.86,0.28617,0.145942,0.0214305,0.0264679,0.00360327,0.245261,0.0231507,0.172647,0.0164139
14,9.42808,-33.7225,67,88,0.593202,8.06979,3.35401e-15,9.80281e-16,1.42187,0.403961,4.27877,1.19914,0.101993,0.0237234,0.0485214,0.0112787,0.0153776,0.00389528,0.015252,0.00408542,0.0434574,0.0158715,2.86,0.639013,0.130114,0.0388997,0.0302129,0.00616277,0.178949,0.0348892,0.132405,0.0257961
15,9.42186,-33.7249,160,46,0.250761,8.07084,2.13504e-15,2.77322e-16,1.43887,0.182178,4.33867,0.545021,0.106969,0.0128807,0.053577,0.00657216,0.0133613,0.00222472,0.0157467,0.0028729,0.0442836,0.00859447,2.86,0.27771,0.132816,0.0162671,0.0288813,0.00345052,0.208065,0.0206543,0.149275,0.0145947
