# BETIS HII-region catalogue - extinction-corrected emission-line fluxes
# Galaxy: ESO476-G16   (157 valid HII regions)
#
# UNITS
#   Hb4861 and e_Hb4861 are ABSOLUTE, in erg s^-1 cm^-2 (cgs), unscaled.
#   Every other line and its error is NORMALISED BY Hbeta, i.e. the
#   dimensionless ratio F(line)/F(Hbeta), so Hbeta itself would be 1.
#   To recover an absolute flux:  F(line) = <line> * Hb4861   [cgs]
#   and likewise                  e(line) = e_<line> * Hb4861.
#   The errors are scaled by F(Hbeta) only; the uncertainty of Hbeta
#   itself is NOT folded into them - it is given once, as e_Hb4861.
#   Rows without a measured Hbeta have no ratios at all (all blank).
#
# Fluxes are corrected for internal extinction using the region's own
# Balmer decrement (Cardelli et al. 1989, R_V=3.1, intrinsic Ha/Hb=2.86,
# E(B-V) clamped at >=0); A_V [mag] is that correction.
# OH = 12+log(O/H) from the O3N2 calibrator (blank where [O III] or Hb
# is undetected). ra/dec in degrees J2000; XPIX/YPIX are 1-based FITS
# pixel coordinates in the galaxy's segmentation map.
region_id,ra,dec,XPIX,YPIX,A_V,OH,Hb4861,e_Hb4861,OIII4959,e_OIII4959,OIII5007,e_OIII5007,HeI5876,e_HeI5876,OI6300,e_OI6300,SIII6312,e_SIII6312,OI6364,e_OI6364,NII6548,e_NII6548,Ha6563,e_Ha6563,NII6584,e_NII6584,HeI6678,e_HeI6678,SII6716,e_SII6716,SII6731,e_SII6731
2,22.6113,-26.7781,132,181,0.955575,8.48618,3.13317e-15,7.0663e-16,0.212317,0.0469908,0.631843,0.137158,0.096336,0.0176476,0.0463661,0.00803547,0.00532108,0.00226786,0.016124,0.00365278,0.264313,0.0519146,2.86,0.499372,0.789925,0.151671,0.0241777,0.00530161,0.440694,0.0693641,0.324323,0.0522382
3,22.6021,-26.78,280,147,0.736757,8.40965,1.0462e-15,1.6207e-16,0.392257,0.0598858,1.20328,0.180738,0.108791,0.0159204,,,0.041591,0.00629124,,,0.214343,0.0295159,2.86,0.313113,0.64129,0.0768369,0.0255778,0.00760505,0.395989,0.0430828,0.315806,0.0349641
4,22.6094,-26.7776,163,190,0.864153,8.51356,1.63094e-15,3.93137e-16,0.164391,0.0396446,0.495189,0.114949,0.100298,0.020576,0.0394932,0.0080401,,,0.0112962,0.00423435,0.282211,0.0563636,2.86,0.529781,0.843805,0.163165,0.029058,0.0087739,0.446927,0.0754518,0.348312,0.058865
5,22.6057,-26.7804,222,140,1.03725,8.63645,1.40721e-15,3.00393e-16,0.0455748,0.0151654,0.152617,0.034187,0.0849199,0.017387,,,0.0349727,0.0109566,0.0169747,0.00534504,0.325924,0.055414,2.86,0.462944,0.973655,0.160039,,,0.376626,0.0675558,0.294258,0.0509707
6,22.6057,-26.7814,222,121,0.9606,8.56778,3.16278e-16,9.81705e-17,0.0955488,0.035382,0.310793,0.0960934,0.0991601,0.0297827,0.0515692,0.0143889,,,,,0.323809,0.0802337,2.86,0.676947,0.967711,0.233297,,,0.467958,0.0989916,0.368103,0.0807981
7,22.6122,-26.7812,118,125,1.41654,8.57186,1.98279e-15,2.93325e-16,0.100114,0.0169092,0.307083,0.0443508,0.0848857,0.0127126,0.0611576,0.00910786,,,0.0142678,0.00505647,0.335224,0.0429039,2.86,0.311178,0.999529,0.109178,0.0201744,0.00674007,0.454979,0.0455487,0.330227,0.0336727
8,22.6032,-26.7774,263,194,0.768738,8.53077,2.31374e-16,2.84723e-17,0.139757,0.0279127,0.439231,0.0559748,0.076681,0.0173796,0.0603023,0.0126315,,,,,0.303637,0.0314113,2.86,0.255629,0.908301,0.0834935,,,0.492557,0.0471144,0.315958,0.0341769
9,22.605,-26.7797,234,151,0.925947,8.63597,1.51836e-15,2.0617e-16,0.0521067,0.0112996,0.143018,0.0209838,0.0742426,0.0106834,0.0412407,0.00544951,,,0.0167517,0.00558323,0.303818,0.0356242,2.86,0.293522,0.908125,0.0960619,0.0211035,0.00723551,0.456606,0.0431465,0.362731,0.0346098
10,22.6057,-26.7769,223,202,1.41873,8.61805,1.98649e-15,4.65636e-16,0.0591992,0.0182683,0.176755,0.0413776,0.0835268,0.0190377,0.044619,0.00984664,,,,,0.31408,0.0551861,2.86,0.492885,0.936473,0.160024,,,0.415069,0.0687071,0.275322,0.0462628
11,22.6037,-26.7772,255,197,1.15909,,,,,,,,,,,,,,,,,,,,,,,,,,,
