# BETIS HII-region catalogue - extinction-corrected emission-line fluxes
# Galaxy: IC2200   (114 valid HII regions)
#
# UNITS
#   Hb4861 and e_Hb4861 are ABSOLUTE, in erg s^-1 cm^-2 (cgs), unscaled.
#   Every other line and its error is NORMALISED BY Hbeta, i.e. the
#   dimensionless ratio F(line)/F(Hbeta), so Hbeta itself would be 1.
#   To recover an absolute flux:  F(line) = <line> * Hb4861   [cgs]
#   and likewise                  e(line) = e_<line> * Hb4861.
#   The errors are scaled by F(Hbeta) only; the uncertainty of Hbeta
#   itself is NOT folded into them - it is given once, as e_Hb4861.
#   Rows without a measured Hbeta have no ratios at all (all blank).
#
# Fluxes are corrected for internal extinction using the region's own
# Balmer decrement (Cardelli et al. 1989, R_V=3.1, intrinsic Ha/Hb=2.86,
# E(B-V) clamped at >=0); A_V [mag] is that correction.
# OH = 12+log(O/H) from the O3N2 calibrator (blank where [O III] or Hb
# is undetected). ra/dec in degrees J2000; XPIX/YPIX are 1-based FITS
# pixel coordinates in the galaxy's segmentation map.
region_id,ra,dec,XPIX,YPIX,A_V,OH,Hb4861,e_Hb4861,OIII4959,e_OIII4959,OIII5007,e_OIII5007,HeI5876,e_HeI5876,OI6300,e_OI6300,SIII6312,e_SIII6312,OI6364,e_OI6364,NII6548,e_NII6548,Ha6563,e_Ha6563,NII6584,e_NII6584,HeI6678,e_HeI6678,SII6716,e_SII6716,SII6731,e_SII6731
2,112.081,-62.3486,110,252,1.52886,8.43622,7.58722e-15,1.54687e-15,0.355543,0.0719256,1.05291,0.208476,0.102203,0.0169391,0.0781729,0.0120393,,,0.02475,0.00488365,0.251992,0.0409229,2.86,0.405192,0.750932,0.114988,0.0279912,0.00445236,0.306269,0.0409472,0.236625,0.0315187
3,112.077,-62.3483,143,257,1.44642,8.48263,3.86797e-15,9.64136e-16,0.236358,0.0585266,0.666868,0.160219,0.0947786,0.0205409,0.0442868,0.00880803,0.00960701,0.00305168,0.0149619,0.0038116,0.268635,0.0509833,2.86,0.501545,0.80086,0.142975,0.0231168,0.00506291,0.367643,0.0650982,0.267829,0.0492499
4,112.073,-62.3575,179,92,1.08594,8.46369,2.47967e-15,6.41827e-16,0.233793,0.0597999,0.731582,0.181774,0.112813,0.0231889,0.030499,0.00730897,,,0.0150483,0.00363843,0.237515,0.050312,2.86,0.51987,0.70937,0.135119,0.0283901,0.00637419,0.337689,0.0564001,0.23513,0.0394207
5,112.076,-62.3536,151,163,2.06788,8.59815,1.04037e-14,1.11255e-15,0.0717847,0.0147881,0.233049,0.0286709,0.062036,0.0108509,0.104247,0.010278,,,0.0310432,0.00547677,0.337974,0.0355503,2.86,0.220143,1.00443,0.0854896,,,0.463249,0.036614,0.333063,0.0267395
6,112.075,-62.3518,158,195,1.689,8.62957,5.7338e-15,1.16707e-15,0.0569442,0.0193061,0.157034,0.0340398,0.0745212,0.0211043,0.0501168,0.010588,,,,,0.314072,0.0539851,2.86,0.434524,0.935178,0.149297,,,0.389051,0.0531725,0.273196,0.0376041
7,112.074,-62.3536,166,163,2.1078,8.59129,1.16173e-14,2.46092e-15,0.0715754,0.0263076,0.236936,0.0561029,0.0639166,0.022085,0.0871484,0.0178406,,,0.0267782,0.0094449,0.319671,0.0566385,2.86,0.45896,0.949845,0.156691,,,0.468745,0.0694611,0.335031,0.0508346
8,112.073,-62.3532,179,170,2.9946,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,112.077,-62.3528,145,177,2.0114,8.62001,1.15266e-14,1.92167e-15,0.0561234,0.0150296,0.173238,0.0299668,0.0674364,0.0142189,0.0655525,0.00892411,,,,,0.315011,0.0425842,2.86,0.349149,0.936452,0.116895,,,0.42748,0.0529538,0.30678,0.0386198
10,112.077,-62.352,141,192,1.97069,8.61909,9.52067e-15,2.17643e-15,0.0547717,0.0162239,0.179495,0.040955,0.0718354,0.0179339,0.0536946,0.0101781,,,0.00856546,0.00336682,0.323259,0.0608255,2.86,0.503551,0.961168,0.173489,0.0119106,0.00433302,0.399291,0.0663021,0.292829,0.0502165
11,112.058,-62.3568,302,104,1.48786,8.48152,2.33067e-15,6.43032e-16,0.214259,0.0585708,0.670077,0.17771,0.0933335,0.02257,0.0637807,0.0153199,,,0.0207361,0.00576025,0.266605,0.0621175,2.86,0.607228,0.794642,0.180594,0.0282348,0.00643306,0.434631,0.0825033,0.303861,0.0571108
12,112.083,-62.3537,95,161,1.82206,8.46826,3.34668e-15,8.79915e-16,0.27532,0.0721513,0.826719,0.207905,0.101703,0.0237264,0.0471044,0.0109518,,,0.0190663,0.00629792,0.283636,0.0566171,2.86,0.532669,0.843984,0.162286,0.0261904,0.00678671,0.387641,0.0679517,0.268805,0.0478374
13,112.071,-62.3527,195,179,2.33348,8.59862,6.22836e-15,1.96211e-15,0.0885698,0.039243,0.228255,0.0721933,0.0614992,0.0236795,0.0590076,0.0161474,,,0.00974017,0.00372084,0.333109,0.0789714,2.86,0.630013,0.988649,0.215224,,,0.422023,0.0861724,0.309066,0.0633878
