# BETIS HII-region catalogue - extinction-corrected emission-line fluxes
# Galaxy: MCG-02-07-033   (160 valid HII regions)
#
# UNITS
#   Hb4861 and e_Hb4861 are ABSOLUTE, in erg s^-1 cm^-2 (cgs), unscaled.
#   Every other line and its error is NORMALISED BY Hbeta, i.e. the
#   dimensionless ratio F(line)/F(Hbeta), so Hbeta itself would be 1.
#   To recover an absolute flux:  F(line) = <line> * Hb4861   [cgs]
#   and likewise                  e(line) = e_<line> * Hb4861.
#   The errors are scaled by F(Hbeta) only; the uncertainty of Hbeta
#   itself is NOT folded into them - it is given once, as e_Hb4861.
#   Rows without a measured Hbeta have no ratios at all (all blank).
#
# Fluxes are corrected for internal extinction using the region's own
# Balmer decrement (Cardelli et al. 1989, R_V=3.1, intrinsic Ha/Hb=2.86,
# E(B-V) clamped at >=0); A_V [mag] is that correction.
# OH = 12+log(O/H) from the O3N2 calibrator (blank where [O III] or Hb
# is undetected). ra/dec in degrees J2000; XPIX/YPIX are 1-based FITS
# pixel coordinates in the galaxy's segmentation map.
region_id,ra,dec,XPIX,YPIX,A_V,OH,Hb4861,e_Hb4861,OIII4959,e_OIII4959,OIII5007,e_OIII5007,HeI5876,e_HeI5876,OI6300,e_OI6300,SIII6312,e_SIII6312,OI6364,e_OI6364,NII6548,e_NII6548,Ha6563,e_Ha6563,NII6584,e_NII6584,HeI6678,e_HeI6678,SII6716,e_SII6716,SII6731,e_SII6731
1,38.61,-10.8411,162,211,1.27361,8.45501,9.21505e-15,2.67893e-15,0.260188,0.0737784,0.811213,0.226536,0.0995392,0.0237445,0.0411541,0.00919838,0.00495417,0.00178881,0.0146808,0.00341838,0.239102,0.0543437,2.86,0.624217,0.713436,0.158815,0.0279542,0.00620671,0.375558,0.0734616,0.270112,0.0527078
2,38.5971,-10.8412,391,209,0.417022,8.29566,2.23394e-15,7.16086e-16,0.665072,0.207286,2.01845,0.619486,0.11126,0.0281317,0.0211303,0.00546286,0.00830309,0.00275726,0.00744473,0.00254036,0.114391,0.0314535,2.86,0.698462,0.342795,0.0911971,0.0323582,0.00844012,0.193799,0.0447099,0.13758,0.0324591
3,38.5969,-10.8454,394,133,2.58543,8.55427,1.18317e-14,1.90834e-15,0.102256,0.0187833,0.331298,0.0525135,0.0882619,0.0130569,0.049283,0.00650949,,,0.0164593,0.00294462,0.300126,0.0393359,2.86,0.35079,0.889628,0.112064,0.0240992,0.00636847,0.353645,0.0400904,0.256215,0.0292236
4,38.6093,-10.8415,175,204,1.14686,8.49915,2.87639e-15,7.113e-16,0.174135,0.0434116,0.569168,0.135125,0.088737,0.0193936,,,0.0671882,0.0138155,0.0219149,0.00486469,0.276008,0.051085,2.86,0.510623,0.824084,0.148517,0.0216687,0.00804113,0.482551,0.0799191,0.340969,0.0567878
5,38.5959,-10.8455,412,131,0.820073,8.55084,3.66313e-15,4.527e-16,0.0997866,0.0134601,0.300226,0.0364005,0.0851803,0.00977461,0.0264143,0.00321923,,,0.0109609,0.00180247,0.259575,0.0252263,2.86,0.237655,0.776295,0.065506,0.024621,0.00591827,0.340661,0.0312038,0.240681,0.0231648
6,38.6089,-10.8432,182,173,1.06153,8.40891,4.01105e-15,6.37253e-16,0.375912,0.0582905,1.09807,0.167192,0.101738,0.01508,0.0413104,0.00539742,0.00802964,0.00220676,0.0140845,0.00215177,0.194366,0.026242,2.86,0.344944,0.580571,0.0732228,0.0362106,0.00669028,0.357008,0.0408814,0.249016,0.0294703
7,38.6022,-10.8394,301,241,0.903969,8.37707,1.28131e-15,1.8088e-16,0.457528,0.0641117,1.39977,0.189843,0.103321,0.0131111,0.0354825,0.00531418,0.0105256,0.0033867,0.0127845,0.00436063,0.176559,0.0237181,2.86,0.305009,0.5278,0.0581988,0.0312388,0.0050879,0.255478,0.0248195,0.186136,0.0181761
8,38.5923,-10.8437,475,164,1.0524,,1.38561e-15,4.05695e-16,0.936112,0.267174,2.85521,0.776183,0.117964,0.0297555,0.0423353,0.0102679,,,,,,,2.86,0.578758,,,,,0.230092,0.0452284,0.170141,0.0344794
9,38.6002,-10.8427,335,182,2.19514,8.59296,7.67788e-15,1.91421e-15,0.066467,0.0202034,0.221082,0.0551413,0.0743204,0.0158313,0.057016,0.0121255,,,0.0156837,0.00367059,0.303725,0.0630146,2.86,0.53918,0.902066,0.183785,,,0.438502,0.076076,0.308742,0.0540066
10,38.602,-10.8437,304,164,3.3059,8.58307,3.36928e-14,6.41254e-15,,,0.263943,0.0659543,0.0819472,0.035227,0.0937426,0.0201241,,,,,0.328198,0.0441527,2.86,0.355635,0.969319,0.12128,,,0.415861,0.0772543,0.321236,0.0677798
