# BETIS HII-region catalogue - extinction-corrected emission-line fluxes
# Galaxy: NGC3120   (248 valid HII regions)
#
# UNITS
#   Hb4861 and e_Hb4861 are ABSOLUTE, in erg s^-1 cm^-2 (cgs), unscaled.
#   Every other line and its error is NORMALISED BY Hbeta, i.e. the
#   dimensionless ratio F(line)/F(Hbeta), so Hbeta itself would be 1.
#   To recover an absolute flux:  F(line) = <line> * Hb4861   [cgs]
#   and likewise                  e(line) = e_<line> * Hb4861.
#   The errors are scaled by F(Hbeta) only; the uncertainty of Hbeta
#   itself is NOT folded into them - it is given once, as e_Hb4861.
#   Rows without a measured Hbeta have no ratios at all (all blank).
#
# Fluxes are corrected for internal extinction using the region's own
# Balmer decrement (Cardelli et al. 1989, R_V=3.1, intrinsic Ha/Hb=2.86,
# E(B-V) clamped at >=0); A_V [mag] is that correction.
# OH = 12+log(O/H) from the O3N2 calibrator (blank where [O III] or Hb
# is undetected). ra/dec in degrees J2000; XPIX/YPIX are 1-based FITS
# pixel coordinates in the galaxy's segmentation map.
region_id,ra,dec,XPIX,YPIX,A_V,OH,Hb4861,e_Hb4861,OIII4959,e_OIII4959,OIII5007,e_OIII5007,HeI5876,e_HeI5876,OI6300,e_OI6300,SIII6312,e_SIII6312,OI6364,e_OI6364,NII6548,e_NII6548,Ha6563,e_Ha6563,NII6584,e_NII6584,HeI6678,e_HeI6678,SII6716,e_SII6716,SII6731,e_SII6731
1,151.347,-34.2274,137,169,1.26241,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,151.339,-34.2187,245,324,1.70725,8.55444,5.34334e-15,1.25387e-15,0.104875,0.0267346,0.360597,0.0807443,0.0600098,0.0143772,0.039831,0.0102227,,,0.0132252,0.00369736,0.325863,0.0571085,2.86,0.46403,0.970195,0.164186,0.0220937,0.00539958,0.316432,0.0493848,0.22468,0.0351369
3,151.35,-34.2219,83,268,1.75779,8.64188,5.1447e-15,9.66769e-16,0.039987,0.0104329,0.145821,0.027621,0.0410725,0.00788235,0.0308585,0.00585568,,,0.0146061,0.00336425,0.329863,0.0527654,2.86,0.41503,0.981857,0.149586,0.0148237,0.00524596,0.311502,0.0511262,0.224488,0.0363378
4,151.343,-34.2166,195,363,1.53119,8.62541,5.52207e-15,6.93681e-16,0.0431766,0.0127829,0.149823,0.0212719,0.0601282,0.00862606,0.0432847,0.00901852,,,0.011874,0.00393555,0.287096,0.028741,2.86,0.261996,0.855533,0.0803026,0.0148622,0.00379074,0.363524,0.030593,0.259013,0.0220533
5,151.342,-34.2235,210,238,1.30722,8.64507,4.35403e-15,5.13564e-16,0.0301167,0.00738115,0.125922,0.0157011,,,0.0119207,0.00293036,,,0.00692179,0.00121393,0.293248,0.0314321,2.86,0.260016,0.874851,0.0860347,0.0148207,0.00490343,0.336299,0.0416675,0.236232,0.0273535
6,151.341,-34.2157,222,379,2.02299,8.59719,5.38189e-15,1.01473e-15,0.0770504,0.0201768,0.205982,0.0400841,0.070044,0.0118764,0.0457313,0.0160697,,,,,0.295644,0.0477705,2.86,0.401756,0.878827,0.126374,0.0218208,0.00651069,0.374085,0.049157,0.256482,0.0342992
7,151.342,-34.2216,200,273,1.96296,8.66186,6.91651e-15,1.08212e-15,0.0297821,0.00989588,0.113538,0.0198704,,,0.0218302,0.00416825,,,0.0101125,0.00272846,0.312205,0.0433567,2.86,0.342241,0.928337,0.119024,0.00934633,0.00309718,0.339513,0.0360968,0.240819,0.0256013
8,151.343,-34.2227,187,253,1.22516,8.64285,4.60057e-15,4.37404e-16,0.0331473,0.0090364,0.115361,0.0136451,0.0196767,0.00500148,0.0145966,0.00343226,,,,,0.262744,0.0238254,2.86,0.195624,0.784172,0.0581229,0.0123047,0.00278051,0.302539,0.0224867,0.216276,0.0164609
9,151.352,-34.2231,57,246,1.11914,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,151.34,-34.2188,227,323,2.01383,,,,,,,,,,,,,,,,,,,,,,,,,,,
