# BETIS HII-region catalogue - extinction-corrected emission-line fluxes
# Galaxy: PGC128348   (104 valid HII regions)
#
# UNITS
#   Hb4861 and e_Hb4861 are ABSOLUTE, in erg s^-1 cm^-2 (cgs), unscaled.
#   Every other line and its error is NORMALISED BY Hbeta, i.e. the
#   dimensionless ratio F(line)/F(Hbeta), so Hbeta itself would be 1.
#   To recover an absolute flux:  F(line) = <line> * Hb4861   [cgs]
#   and likewise                  e(line) = e_<line> * Hb4861.
#   The errors are scaled by F(Hbeta) only; the uncertainty of Hbeta
#   itself is NOT folded into them - it is given once, as e_Hb4861.
#   Rows without a measured Hbeta have no ratios at all (all blank).
#
# Fluxes are corrected for internal extinction using the region's own
# Balmer decrement (Cardelli et al. 1989, R_V=3.1, intrinsic Ha/Hb=2.86,
# E(B-V) clamped at >=0); A_V [mag] is that correction.
# OH = 12+log(O/H) from the O3N2 calibrator (blank where [O III] or Hb
# is undetected). ra/dec in degrees J2000; XPIX/YPIX are 1-based FITS
# pixel coordinates in the galaxy's segmentation map.
region_id,ra,dec,XPIX,YPIX,A_V,OH,Hb4861,e_Hb4861,OIII4959,e_OIII4959,OIII5007,e_OIII5007,HeI5876,e_HeI5876,OI6300,e_OI6300,SIII6312,e_SIII6312,OI6364,e_OI6364,NII6548,e_NII6548,Ha6563,e_Ha6563,NII6584,e_NII6584,HeI6678,e_HeI6678,SII6716,e_SII6716,SII6731,e_SII6731
1,353.305,-60.5675,117,255,0.387507,8.36164,1.82967e-15,5.69031e-16,0.489412,0.147474,1.50392,0.445102,0.106645,0.0255956,0.0603633,0.0132293,0.0112603,0.00288767,0.0211912,0.00483995,0.161415,0.0387588,2.86,0.645803,0.483785,0.112378,0.0284015,0.00719336,0.446079,0.0907844,0.329328,0.0683621
2,353.299,-60.5692,177,224,0.227649,8.37204,7.30611e-16,1.04977e-16,0.443994,0.0624925,1.38973,0.191684,0.104676,0.0167947,0.0583343,0.0065937,0.00741455,0.00228177,0.0156927,0.00368823,0.16582,0.0226155,2.86,0.306293,0.497389,0.0591716,0.029304,0.00580729,0.508034,0.0498209,0.350402,0.0340477
3,353.301,-60.5737,159,142,0.828706,8.50006,2.33822e-15,7.15359e-16,0.169254,0.0510635,0.524436,0.154097,0.0881869,0.0221925,0.0443899,0.0104941,0.00562463,0.00258404,0.0185117,0.00508998,0.256547,0.0643975,2.86,0.669562,0.767206,0.186712,0.0218455,0.00779637,0.454406,0.096515,0.315316,0.0676652
4,353.307,-60.5716,100,180,0.355495,8.43858,1.27226e-15,1.46632e-16,0.25349,0.0293174,0.795029,0.08825,0.0926591,0.0109535,0.0426739,0.00488552,0.00656395,0.00261337,0.0181463,0.00324673,0.194163,0.0209541,2.86,0.253957,0.582029,0.0517758,0.0218275,0.00525841,0.451066,0.0392394,0.32018,0.0276587
5,353.303,-60.574,137,138,0.364311,8.4736,1.07194e-15,2.58537e-16,0.203539,0.0490091,0.595977,0.138125,0.0913288,0.0189257,0.0420328,0.00829562,0.0107683,0.00356024,0.0146499,0.00434545,0.215598,0.0440425,2.86,0.52005,0.646256,0.123441,0.0238197,0.00748157,0.375385,0.0649527,0.254887,0.0441807
6,353.294,-60.5747,220,125,0.379889,8.42753,7.51767e-16,1.80989e-16,0.296077,0.0700054,0.888103,0.205492,0.0960528,0.0194074,0.0471849,0.00936761,,,0.0151156,0.00387284,0.19196,0.0370188,2.86,0.517218,0.575357,0.106756,0.0255233,0.00727708,0.410368,0.0670966,0.279401,0.0455107
7,353.304,-60.5736,126,144,0.454115,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,353.308,-60.57,97,209,0.261242,8.43886,1.42134e-16,2.73934e-17,0.263184,0.0522134,0.821894,0.152973,0.10089,0.0179563,0.0819134,0.0148404,,,0.0312923,0.0109319,0.201245,0.0342594,2.86,0.417715,0.603545,0.0924624,0.0261374,0.0100976,0.572694,0.0804934,0.414296,0.0617974
9,353.3,-60.5729,165,157,0.523089,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,353.304,-60.573,126,156,0.24536,8.51301,5.20671e-16,1.27504e-16,0.130242,0.0372544,0.426401,0.1032,0.0723801,0.0161429,0.0606396,0.0119428,,,0.0270137,0.00907626,0.240778,0.0494404,2.86,0.505916,0.722163,0.13652,,,0.498296,0.0811634,0.352696,0.0586149
11,353.299,-60.5702,177,205,0.648115,8.45134,1.13989e-15,2.68919e-16,0.246633,0.0580694,0.75072,0.171455,0.0890679,0.0177338,0.0803487,0.0147603,,,0.0312658,0.00665424,0.211689,0.0384952,2.86,0.49127,0.633634,0.110947,0.0223273,0.00857439,0.527567,0.0850875,0.370159,0.0598029
12,353.299,-60.569,170,227,0.557,8.35591,4.37547e-15,1.30576e-15,0.487702,0.14166,1.49686,0.428315,0.106335,0.0268543,0.0457075,0.011141,0.00636038,0.00201915,0.0188835,0.00440527,0.151709,0.0373303,2.86,0.655723,0.454308,0.107139,0.0278494,0.0066216,0.422747,0.0848591,0.293929,0.0589319
13,353.308,-60.5699,90,211,0.869711,8.41116,1.76948e-15,5.06289e-16,0.348722,0.0982044,1.06832,0.294021,0.102529,0.0247043,0.0696056,0.0155359,0.00752185,0.00306063,0.0215472,0.00552675,0.193579,0.0428996,2.86,0.611108,0.57878,0.124433,0.0276845,0.00734313,0.511141,0.0976398,0.360874,0.0696175
14,353.312,-60.573,61,156,0.384453,8.33097,6.63062e-16,9.62833e-17,0.573196,0.0805787,1.75739,0.241929,0.101549,0.0138667,0.0594505,0.00932837,,,0.0166409,0.00394605,0.138995,0.0173973,2.86,0.302574,0.416596,0.046621,0.0261309,0.00536939,0.441006,0.048119,0.297391,0.0316714
15,353.297,-60.5775,191,75,0.647565,8.4419,3.83833e-16,6.31807e-17,0.285658,0.049161,0.829307,0.131946,0.0954072,0.0153518,0.0641405,0.0109716,,,0.0380367,0.0155776,0.210457,0.0301424,2.86,0.351958,0.629946,0.0811903,0.03143,0.0111531,0.516847,0.0637393,0.323364,0.0411263
16,353.301,-60.5725,155,165,0.62156,8.54231,9.92666e-16,1.12581e-16,0.115656,0.0299494,0.393839,0.0497159,0.074043,0.0134526,0.0876688,0.0117355,,,0.0535183,0.019161,0.30948,0.0355838,2.86,0.223247,0.926468,0.081188,,,0.821413,0.0692822,0.579095,0.0523497
17,353.303,-60.5703,141,203,0.736299,8.43322,3.96454e-16,8.16306e-17,0.313893,0.0715683,1.04291,0.205943,0.0978254,0.0207476,0.0894379,0.0170473,,,0.0498138,0.0143405,0.240468,0.0404842,2.86,0.405805,0.719455,0.106919,,,0.515607,0.0716416,0.376937,0.0534156
18,353.294,-60.5737,220,142,0.591255,8.49416,4.63566e-16,1.39914e-16,0.181557,0.0585058,0.531479,0.155226,0.0793,0.0205601,0.122747,0.029187,,,0.0503113,0.0150757,0.242891,0.0554986,2.86,0.619986,0.727235,0.156498,,,0.73106,0.146867,0.496217,0.100088
19,353.303,-60.5665,139,272,0.53191,8.332,3.09492e-16,8.20993e-17,0.549312,0.142774,1.69164,0.428608,0.115978,0.0294527,0.115709,0.023966,,,0.0524917,0.0156607,0.135234,0.0307348,2.86,0.577007,0.405021,0.0870251,0.0338221,0.0108515,0.530943,0.0951633,0.37858,0.0691241
20,353.294,-60.5752,217,116,0.368508,8.41317,6.13081e-16,1.46461e-16,0.312504,0.0740324,0.983289,0.225154,0.090145,0.0178776,0.0595083,0.0109687,,,0.0216461,0.00541984,0.181632,0.0361769,2.86,0.506052,0.54443,0.0984998,0.0243261,0.0078402,0.514551,0.0816192,0.341259,0.0544301
21,353.296,-60.5696,201,216,0.435446,8.44197,5.57408e-16,1.01795e-16,0.227532,0.0420943,0.713091,0.126123,0.0793023,0.013529,0.0908079,0.0129263,,,0.0423004,0.00889113,0.180919,0.0279028,2.86,0.391882,0.542111,0.0795348,0.0269082,0.00896252,0.662028,0.0829515,0.470192,0.0592003
22,353.298,-60.5731,180,153,0.156028,8.54056,4.3123e-16,6.09727e-17,0.0953776,0.0240178,0.34051,0.0499591,0.0855973,0.012483,0.0604217,0.00933475,,,0.0317733,0.0119585,0.261797,0.0318036,2.86,0.284648,0.78556,0.0857755,,,0.716061,0.0683641,0.478159,0.0465183
