# BETIS HII-region catalogue - extinction-corrected emission-line fluxes
# Galaxy: UGC00272   (96 valid HII regions)
#
# UNITS
#   Hb4861 and e_Hb4861 are ABSOLUTE, in erg s^-1 cm^-2 (cgs), unscaled.
#   Every other line and its error is NORMALISED BY Hbeta, i.e. the
#   dimensionless ratio F(line)/F(Hbeta), so Hbeta itself would be 1.
#   To recover an absolute flux:  F(line) = <line> * Hb4861   [cgs]
#   and likewise                  e(line) = e_<line> * Hb4861.
#   The errors are scaled by F(Hbeta) only; the uncertainty of Hbeta
#   itself is NOT folded into them - it is given once, as e_Hb4861.
#   Rows without a measured Hbeta have no ratios at all (all blank).
#
# Fluxes are corrected for internal extinction using the region's own
# Balmer decrement (Cardelli et al. 1989, R_V=3.1, intrinsic Ha/Hb=2.86,
# E(B-V) clamped at >=0); A_V [mag] is that correction.
# OH = 12+log(O/H) from the O3N2 calibrator (blank where [O III] or Hb
# is undetected). ra/dec in degrees J2000; XPIX/YPIX are 1-based FITS
# pixel coordinates in the galaxy's segmentation map.
region_id,ra,dec,XPIX,YPIX,A_V,OH,Hb4861,e_Hb4861,OIII4959,e_OIII4959,OIII5007,e_OIII5007,HeI5876,e_HeI5876,OI6300,e_OI6300,SIII6312,e_SIII6312,OI6364,e_OI6364,NII6548,e_NII6548,Ha6563,e_Ha6563,NII6584,e_NII6584,HeI6678,e_HeI6678,SII6716,e_SII6716,SII6731,e_SII6731
1,6.96086,-1.2012,107,146,0.693057,8.22999,3.88725e-15,4.0512e-16,0.90637,0.0921035,2.7254,0.272741,0.105453,0.0122926,0.0533612,0.00692723,0.0159502,0.00508392,0.0196455,0.00241731,0.087537,0.00966063,2.86,0.225988,0.261959,0.0236404,0.0281916,0.00346812,0.341291,0.0268844,0.242044,0.0190123
2,6.96214,-1.20003,84,167,0.610718,8.23133,9.36208e-16,1.59041e-16,0.725714,0.119967,2.18616,0.358975,0.0949385,0.0144672,0.0735227,0.0160001,,,0.0229369,0.00528506,0.0709644,0.0141456,2.86,0.363864,0.212452,0.0336271,0.0250575,0.00633494,0.397403,0.0507398,0.285137,0.03636
3,6.95892,-1.19653,142,230,0.646482,8.1707,1.05286e-15,2.7217e-16,1.07085,0.268315,3.22246,0.796873,0.10594,0.0229081,0.0788005,0.0170281,0.0224714,0.00955345,0.0244775,0.00503503,0.0652313,0.0162153,2.86,0.508655,0.195254,0.0376041,0.0286019,0.00656254,0.36172,0.0633758,0.250763,0.0444239
4,6.95486,-1.19959,215,175,0.498745,8.29802,9.50211e-16,2.85394e-16,0.65004,0.190697,2.00178,0.575881,0.105307,0.0248729,0.066417,0.0192087,,,0.0213577,0.00594172,0.115985,0.0295022,2.86,0.632429,0.347429,0.0819959,0.0259508,0.00688068,0.426783,0.0853339,0.300195,0.0608972
5,6.95375,-1.19931,235,180,0.0515665,8.34463,4.26094e-16,1.04275e-16,0.432636,0.106431,1.32193,0.313317,0.101551,0.0220886,0.0943068,0.0218543,,,0.028001,0.00862899,0.119362,0.0274716,2.86,0.558371,0.358353,0.0756001,0.021722,0.0073938,0.540542,0.0851178,0.378092,0.0587123
6,6.95675,-1.19609,181,238,0.289974,8.25432,5.42448e-16,1.63426e-16,0.759053,0.222444,2.26428,0.65267,0.112592,0.0275963,0.0628608,0.018333,,,0.024363,0.00710583,0.0889491,0.0250902,2.86,0.657809,0.266725,0.0687853,0.0273342,0.00881943,0.480355,0.101703,0.332288,0.0696716
7,6.96431,-1.2032,45,110,0.668055,8.29513,6.45123e-16,1.12461e-16,0.613329,0.10495,1.80945,0.300681,0.0888567,0.0129778,0.110201,0.0264411,,,0.0556935,0.0112105,0.102183,0.014706,2.86,0.341181,0.305827,0.0386874,0.0216978,0.00589349,0.561413,0.0633234,0.37994,0.0430993
8,6.96153,-1.20348,95,105,0.477481,8.2776,4.83224e-16,8.58064e-17,0.690267,0.119723,2.10501,0.358056,0.109495,0.0195998,0.0818176,0.0268676,,,0.0385962,0.0139044,0.101385,0.0188751,2.86,0.383889,0.303727,0.0447297,0.0219052,0.00843873,0.440384,0.0652523,0.305676,0.044734
9,6.95408,-1.19953,229,176,0.534068,8.35943,1.76784e-15,4.80219e-16,0.420759,0.11112,1.26197,0.327699,0.0958398,0.0209864,0.0956998,0.0221784,,,0.0342521,0.0073472,0.132534,0.0284832,2.86,0.571925,0.396933,0.0826755,0.0237509,0.00769393,0.557841,0.103309,0.388183,0.0716517
10,6.95892,-1.19753,142,212,0.372098,8.29271,6.10957e-16,7.77759e-17,0.600185,0.0757605,1.78968,0.21813,0.0850065,0.0101859,0.0911884,0.0230557,,,0.0245705,0.00484507,0.0987055,0.0149204,2.86,0.273165,0.295858,0.0333859,0.0268552,0.00711853,0.49243,0.0491831,0.35221,0.0329813
