name,ra,dec,distance_Mpc,resolution_pc,r25_arcsec,incl_deg,pa_deg,lf_type,alpha_single,e_alpha_single,alpha_low,e_alpha_low,alpha_high,e_alpha_high,logL_break,n_regions
Arp335,166.098,4.82861,104.27,520.681,64.15,66.74,40,1,-2.309,0.2674,,,,,,105
ESO018-G009,126.033,-77.7826,76.169,350.814,30.7,36.2,0,1,-2.057,0.1596,,,,,,128
ESO113-32,19.0206,-61.6222,124.29,596.549,43.35,81.45,58,2,,,-1.207,0,-2.633,0.2059,39.5,100
ESO18-18,141.918,-80.1799,73.034,488.629,30,39.38,0,1,-1.953,0.2168,,,,,,116
ESO298-28,34.9067,-37.8188,72.777,321.078,82.65,66,23,2,,,-1.158,0,-2.633,0.1194,38.7,245
ESO350-40,9.42129,-33.7163,129.64,527.95,45,50.45,128,1,-1.33,0.05206,,,,,,179
ESO476-G16,22.608,-26.78,84.897,382.781,44.35,62.73,143,2,,,-1.161,0.1442,-2.418,0.3808,39.1,157
ESO534-G024,341.311,-22.7308,44.219,218.667,57.165,53.89,112,1,-1.778,0.1865,,,,,,151
ESO584-7,243.222,-21.6233,135.802,618.883,33.66,45.12,148,1,-2.074,0.3155,,,,,,128
IC2200,112.073,-62.3529,49.91,244.39,38.65,59.81,59,1,-2.08,0.33,,,,,,114
MCG-01-04-025,19.6799,-7.45147,75.543,358.918,39.55,43.59,0,1,-2.132,0.1799,,,,,,116
MCG-01-57-021,340.063,-2.42406,42.626,264.521,67.15,57.17,84.7,1,-1.845,0.1161,,,,,,225
MCG-02-07-033,38.6021,-10.8437,68.978,247.467,57.16,73.14,72.4,2,,,-1.232,0.07957,-3.02,0.4894,40.1,160
NGC1080,41.2914,-4.71078,112.444,577.853,32.895,44.77,165.9,2,,,-1.066,0.2054,-1.909,0.3002,39.7,111
NGC1285,49.4726,-7.29781,75.364,555.37,45.4,45.55,10,1,-1.76,0.2207,,,,,,131
NGC1762,75.9043,1.57333,67.843,315.756,50.95,51.2,175,2,,,-1.037,0.1582,-3.211,0.0401,39.7,219
NGC2370,111.257,23.7832,79.102,371.992,33,56.76,43,1,-2.382,0.181,,,,,,132
NGC2906,143.026,8.44178,31.393,111.104,43.35,55.22,75,1,-2.16,0.1655,,,,,,129
NGC3120,151.346,-34.2199,39.868,175.89,70.03,46.96,1,1,-1.978,0.2809,,,,,,248
NGC3244,156.37,-39.8276,39.504,256.638,61.25,43.28,170,1,-2.342,0.1865,,,,,,249
NGC3389,162.116,12.5332,18.463,50.1262,82.65,62.88,112,2,,,-1.61,0.1387,-2.199,0.2838,38.9,428
NGC3449,163.224,-32.9276,46.828,242.921,99.35,90,148,1,-2.381,0.1911,,,,,,234
NGC3456,163.514,-16.0277,59.393,310.981,52.135,48.8,100.3,1,-2.54,0.3779,,,,,,182
NGC3512,166.012,28.0368,19.833,85.5763,48.65,21.56,0,2,,,-1.048,0.05233,-2.944,0.3182,38.5,249
NGC4254,184.707,14.4165,34.703,186.752,161.1,30.11,0,2,,,-1.247,0.03704,-2.737,0.1145,39.65,2157
NGC4321,185.728,15.8218,21.589,111.993,180.77,32.92,0,2,,,-1.595,0.06025,-2.018,0.0618,38.65,1876
NGC4651,190.928,16.3934,11.097,44.1158,119.45,50.01,80,2,,,-1.16,0.03561,-2.022,0.09978,37.7,700
NGC4790,193.716,-10.2478,19.487,60.4644,52.15,51.2,90,2,,,-1.103,0.04738,-1.967,0.2407,38.5,250
NGC4809,193.713,2.65408,13.876,34.9818,52.15,67,11,2,,,-1.167,0.01572,-1.916,0.09367,37.5,245
NGC4900,195.164,2.50072,13.936,58.7804,67.15,21.56,0,1,-1.94,0.09539,,,,,,528
NGC6627,275.662,15.698,75.839,297.819,32.145,25.12,74.5,1,-1.661,0.1446,,,,,,135
NGC6708,283.898,-53.7234,37.007,177.621,34.45,44.02,167,1,-1.555,0.09691,,,,,,167
NGC6754,287.857,-50.6418,46.416,227.281,57.15,64.45,80,1,-1.972,0.1939,,,,,,175
NGC692,27.175,-48.6485,90.576,395.212,58.5,30.3,84.4,1,-2.301,0.1687,,,,,,202
NGC6975,313.108,-5.77231,85.741,453.096,38.65,32.64,0,1,-1.727,0.1475,,,,,,150
NGC7448,345.015,15.9803,31.517,207.806,80.75,66,170,1,-1.559,0.04799,,,,,,252
NGC7541,348.683,4.53436,38.57,127.155,104,73.77,102,2,,,-1.448,0.176,-2.289,0.1896,39.7,420
NGC7742,356.066,10.7671,23.692,89.5924,52.15,0,0,1,-1.569,0.1789,,,,,,189
NGC863,33.6398,-0.766694,113.06,591.981,32.15,22.4,0,2,,,-1.649,0.1653,-3.865,0.7853,39.7,254
PGC128348,353.301,-60.5723,63.102,296.749,28.65,36.78,15.9,1,-2.121,0.1322,,,,,,104
UGC00272,6.95725,-1.2,55.766,313.619,43.35,66.32,130,1,-1.984,0.1498,,,,,,96
